outcome,policy,h,theta_A,P_A,lo,hi,se_theta_A,ci_theta_lo,ci_theta_hi,im_lo,im_hi,lam_star
pce,1,22,0.6221105827563667,0.6691729323308271,-0.9283622997175367,1.4808905318229892,0.3562496140823126,0.0970280113489097,1.2431050226827263,-1.544874423917362,1.8911705774718204,1.8804706251499266
pce,1,23,0.6909479818707706,0.6691729323308271,-0.9216650502441479,1.5263120242649295,0.3589569908836149,0.17286666622155367,1.3411481504394938,-1.5660943479459486,1.9328560194737654,2.0885473088366475
pce,1,24,0.7174300940203358,0.6691729323308271,-0.9495438287444634,1.5779117319279556,0.36704661224781726,0.2001558480508967,1.3721010409040537,-1.6137795545670783,1.9984492462135164,2.1685955114705604
pce,-1,1,0.18730397378353003,0.593984962406015,-0.4493335935169782,0.5151727540988192,0.10305030125452269,0.09032206386231945,0.4067717104223364,-0.6452539441927041,0.6469552272377306,0.46132275024462016
pce,-1,2,0.2752411238688926,0.593984962406015,-0.6873827950238124,0.7158411031589137,0.1542796747634009,0.12208017868605048,0.6010425033669832,-0.9843605612935015,0.9015153953839339,0.6779086939733835
pce,-1,3,0.3818218173569362,0.593984962406015,-0.9135645103547765,0.9495981133585465,0.18251053255420652,0.2044063180184894,0.7532267717264397,-1.3085864072421538,1.1800868135860187,0.9404129946013426
pce,-1,4,0.401992645569238,0.593984962406015,-0.9437185951488469,0.9982405185022294,0.18247018391092162,0.22319636079043825,0.7814415598902829,-1.351377976305913,1.2396017185203987,0.9900929974205305
pce,-1,5,0.3921525211257847,0.593984962406015,-1.0472277344521963,1.1202626364279404,0.18388864104749633,0.20578476537420753,0.7796174518118273,-1.4774662180124276,1.3982376119111768,0.9658571353653583
pce,-1,6,0.4578392362685409,0.593984962406015,-1.0409789991550615,1.197098820219787,0.2240082385274748,0.22558130857461134,0.9283759904699252,-1.492327345032058,1.5031555151786447,1.1276410819206653
pce,-1,7,0.4584844633479982,0.593984962406015,-1.0140037558465476,1.2254174237724167,0.22825078098599602,0.22709050792239494,0.938258481345716,-1.4609145585316703,1.5428562284459593,1.1292302523200695
pce,-1,8,0.5881028779691168,0.593984962406015,-1.0476065593658674,1.4002458513517824,0.3046839823173635,0.2706633905684611,1.2153159620120222,-1.5526982413756552,1.7727833507512862,1.4484756068498614
pce,-1,9,0.7843214814461837,0.593984962406015,-0.9643571561271715,1.6960283263855729,0.3714334904988726,0.3752290328393728,1.5293779761971462,-1.5148604962989252,2.1345698955939927,1.9317547598581928
pce,-1,10,0.9630728557081283,0.593984962406015,-0.8847004819451427,1.9737904641649944,0.43206924398752583,0.4827507433304985,1.8080735426044017,-1.488461921968589,2.4654554677826113,2.372012774244093
pce,-1,11,0.9731066605193504,0.593984962406015,-0.7655214637193644,2.0248169522030572,0.43548661210715756,0.5280065076389535,1.8579973999865238,-1.3454082729868602,2.5284956086174826,2.3967256638717327
pce,-1,12,0.9488821818208577,0.593984962406015,-0.7879277318100185,2.0489859910614685,0.4276640826648399,0.5205338598323066,1.8336907919752272,-1.3637178833840542,2.5632199508035916,2.33706167004026
pce,-1,13,0.9803825950843559,0.593984962406015,-0.7284963010783494,2.1643391966372745,0.45725231806642896,0.5003925779369314,1.9184167303935462,-1.3160477389147662,2.712650819371082,2.4146460212262832
pce,-1,14,0.9721111274349353,0.593984962406015,-0.7348702296646531,2.1851508387740486,0.44025698907227906,0.5062586270845066,1.8803324870195322,-1.3156210724902953,2.7320045633655363,2.3942737027564145
pce,-1,15,0.9836384903593356,0.593984962406015,-0.6615345692364417,2.172618832979988,0.41018420162420377,0.5429092254628765,1.8404539488253453,-1.2173900082543692,2.7060711355231613,2.4226651706998443
pce,-1,16,1.0064332625169439,0.593984962406015,-0.6279333555043158,2.2040121521479628,0.4068358659820603,0.5644232449984012,1.8802007550039304,-1.1879025718384453,2.742877408299031,2.478807850273213
pce,-1,17,1.0222318471293124,0.593984962406015,-0.6608713383495591,2.2486730364918617,0.46206314359946177,0.5270381220333338,2.018247369012985,-1.2533699759392118,2.822672681702783,2.5177191790407134
pce,-1,18,0.9889624004132248,0.593984962406015,-0.6536914451976742,2.1908428770300667,0.4751526326337489,0.49449278195961943,2.0170686465586276,-1.2433819112649926,2.7732663263131023,2.43577776398072
